start,end,text
41.266,43.149,The left clove of the liver is retracted.
44.13,51.621,The gastrohepatic omentum is opened to gain access to the right crust of the diaphragm.
54.892,66.562,"Next, the frenoesophageal ligament covering the right crust is divided so that we gain access to space between the, develop the plane between the oesophagus and the right crust of the diaphragm."
67.103,74.91,"During this part of the dissection, it's very important to stay in the right plane because if we enter in between the right crust muscles, we will have an oozy field."
75.771,82.857,The retroesophageal space is entered and then further developed by anterior dissection of the oesophagus bluntly.
83.208,87.432,"Once the retroesophageal plane is developed, we can see the posterior vagus."
87.593,88.974,It's easily identified as seen here.
89.515,95.781,"It's a very thick structure, which is most of the time it's lying on the anterior surface of the aorta."
95.801,102.808,"In some cases, it may sometimes be lying closer to the esophagus and may get lifted up with the esophagus during the retroesophageal dissection."
102.828,105.371,So we have to look for it in these two spaces.
106.092,111.257,"Once the thick posterior vagus is identified, it is held with an instrument and"
111.625,115.872,It is divided using either a bipolar or a harmonic.
117.655,122.363,"After tackling the posterior vagus, the anterior vagus is more tricky."
122.443,131.237,"The posterior vagus is usually a single thick nerve so it's easy to identify but the anterior vagus on the other hand, it could be a single nerve or two or more branches."
132.027,150.93,"The best approach for the anterior vagotomy is once we divide the phrenoesophageal ligament like we've divided here, the best approach would be to completely bare the anterior and the left lateral surface of the esophagus till the esophageal muscle dividing all the nerve and the connective tissue."
152.007,172.369,"Sometimes as in this patient which you see here, we may see a single thick anterior vagus nerve fiber which is usually anteriorly and seen to the left of midline because the left vagus actually essentially becomes the anterior vagus and the right nerve becomes the posterior vagus."
173.41,179.837,"After completion of the vagotomy, we inspect all around the esophagus to look for any missed vagal trunks."
182.095,196.932,"To prepare the stomach for the gastrogenostomy, one of the important steps which we do laparoscopically is to devascularize the part of the greater curve where we're going to site the gastrogenostomy."
197.433,210.988,So the area of the junction of the body and the antrum where we're going to actually site the GJ is being devascularized by staying close to the gastric wall.
211.205,231.593,this is because the stomach is a pretty thick wall structure with a very brisk vasculature and after stapling there's always from the staple dinastomosis days after stapling the stomach there's always a risk of bleeding from the staple line so for the staple gastrointestinal we would always do
232.332,234.896,devascularize the greater curve before doing the stapling.
236.458,256.045,"This is not so important in the hands-free anastomosis because we'll be opening both the loops and then suturing them under vision, but still it's a fairly safe practice to follow while doing a laparoscopic gastrogynostomy, adequately devascularizing the greater curve at the site of the anastomosis."
260.767,267.233,"Once the greater curve is prepared and ready for the anastomosis, the next step would be to bring the jejunum up."
267.584,273.012,"lift up the transverse mesocolon, identify the DJ flexure and bring the jejunum."
273.313,277.359,"In this case, we'll be doing an anti-colic anterior gastro jejunostomy."
277.84,283.769,"The reason being that as we're going to anyway site a jejunal jejunostomy, we need a 10 to 15 cm limb."
283.809,288.116,"Normally, we would take the first limb of the jejunum and keep as short an efferent limb as possible."
288.176,295.768,"But in this case, we leave another 5 to 10 cm of extra redundancy so that we have a place to do a JJ which is about"
295.748,297.711,10 centimeters away from the GJ.
298.452,315.04,"Once both the loops have been aligned, we take two hitching stitches at both corners of the stomach and the jejunum to align them for the gastro-jejunal anastomosis."
324.385,349.296,once the stomach and the jejunum have been aligned we are now making a entrotomy and subsequently a gastrotomy on both the loops the size of the entrotomy and gastrotomy on either side is about four centimeters at the completion of the entrotomy and gastrotomy we're going to confirm that
349.394,358.678,measuring the length of the endotomy and make sure that we have an adequate length of bowel open for the anastomosis.
360.481,364.766,"For the gastro-jejunostomy, our preferred suture is 2-O PDS."
366.608,379.682,"Two advantages, one is the needle of the 2-O PDS, the curvature is pretty good so that we can take the, include the jejunum and the thick wall stomach in a single bite, so it's convenient to suture efficiently."
379.902,388.311,"As well, the other advantage is obviously the sliding nature of the PDS compared to the Vicryl, makes it easier while doing the"
388.949,390.351,continuous anastomosis.
390.631,400.482,So here we have taken the cornel stitch at the angle and subsequently like in the open we are coming from into the jejunal lumen taking an outside in bite.
401.223,410.494,"For the subsequent part of the anastomosis we are actually taking the posterior layer, the full thickness of the jejunum and the full thickness of the stomach in a continuous fashion."
410.534,418.703,As you can see the big curvature of the 2 O PDS needle easily facilitates us to take these bites.
420.607,424.121,and finish the anastomosis in a convenient fashion.
426.409,432.051,The second useful tip for the gastroesophageal anastomosis sutured gastroesophageal anastomosis is the port position change
432.487,457.768,you have discussed before here now you can see that we are looking at the anastomosis more from the right side and using a 5mm port that is because the camera port which is initially at the umbilicus for the truncal vagotomy and the alignment has now been shifted to the right subcostal port and the right and left hand working ports is now the right hand port is at the umbilicus and the left hand port is at the left
457.748,486.118,right subcostal region so now we are coming to the angle the full thickness bites we make sure that we cover and cross the angle because once we do the anterior layer this may not be very well visible so when we are doing the posterior layer we make sure that we cross the angle and now we are coming out on the jejunal side and completing the posterior layer the anterior layer is now being done separately
486.79,494.235,Again here you can visualize clearly that you know we are looking at the anastomosis from the right side through the right
494.705,500.254,subclavicular port and the suturing is being done from the umbilical and the left subcostal port.
500.855,517.0,By doing this we are looking at the we have a perfect alignment to suture the anastomosis in the same way as you know we probably do it on a lab trainer so and then in addition using the big needle the 2 OPDs needle
517.3,522.946,We have perfect control on the amount of jejunum and stomach we are taking in each bite.
523.627,527.532,So all these small tips facilitate the anastomosis.
527.952,532.978,As you can see the anterior layer we have actually taken an extra mucosal stitch.
532.998,540.827,So we try to exclude the mucosa and take only thick seromuscular bites of the jejunum and the stomach.
542.663,548.393,This sort of facilitates a very good mucosal inversion and a serosal approximation.
551.217,554.182,"This, now we've reached the corner anteriorly."
554.844,556.606,We already crossed the corner posteriorly.
557.067,566.443,"So, and we complete this, not these two OPDs, to complete the single layer gastrointestinal anastomosis."
568.786,578.4,"You can see because of the extra mucosal suturing, the seromuscular reposition is excellent with hardly any mucosa being seen averted."
579.241,594.203,"For the subsequent anastomosis of the jejuno-jejunostomy, the first step we do is just a single aligning trio silk stitch to just keep the both jejunal loops for the jejuno-jejunostomy aligned for the anastomosis."
594.858,596.881,and then an entrotomy is made.
596.941,602.65,The entrotomy is made of a size of about 3 cm on either side.
602.69,612.145,This is measured with a silk thread cut to length so as to confirm the length of the anastomosis.
615.771,619.397,Once the entrotomy is completed on the
620.002,622.324,"both the genital loops, we begin the anastomosis."
623.105,632.475,"Even this is the same as for the GJ, we use the 2-0 PDS stitch with the angle, conal stitch is being taken."
634.096,640.383,"And in the same way for the posterior layer, the full thickness layer is going to be taken."
640.984,645.368,"And for the anterior layer, we're going to take the extra mucosal bites."
647.356,653.049,Here the needle is coming into the jejunum and now we're going to take the posterior full thickness in a continuous fashion.
653.109,662.53,"Again, the wide curvature of the 2-0 PDS needle facilitates taking easy controlled bites on the jejunum."
663.91,678.108,"Again in the same way, you can see we are looking at the anastomosis from the right side and your working ports are the right subcostal and the umbilical ports, right and left hand versing ports so that we have a perfect ergonomic alignment to complete the anastomosis."
679.07,680.113,We again
682.844,698.106,"Again, as for the other gastrointestinal sutured anastomosis, we make sure that we cross the corner of the posterior anastomotic suture line because it won't be very well visible once we do the anterior layer."
698.127,705.257,Here we have crossed beyond the corner and coming out on the jejunal side and ending the posterior suture line here.
705.524,710.294,"Likewise, the anterior is again with two OPDs in a continuous fashion."
710.354,713.079,We're going to take extra mucosal stitches.
714.322,724.663,"Taking extra mucosal stitches, the same protocol as we use in open surgery, like I said, it actually leads to very good serosal approximation and jugular mucosal inversion."
726.702,736.474,"Also, as I mentioned before, with this slightly modified port ergonomics, the suturing is very convenient."
736.694,740.619,"And with the big needle, the suturing is very convenient, almost like in lab trainer."
741.219,756.237,"And for this small three centimeter anastomosis, doing it completely hands-on gives us not just the cost advantage, but also in terms of time, aligning, then firing the stapler, and then closing the entrotomy"
756.217,769.634,"two layers, this hardly takes too much of extra time compared to the stapled anastomosis, especially when you are doing a small jejunal-jejunal anastomosis, like in a brown loop."
770.535,780.267,Here the anterior layer is also being completed and both the obedeus switches are being knotted to complete the jejunal-jejunal anastomosis.
780.854,793.032,"A single layered jejuno-jejuno anastomosis is also satisfactory, but like I said, you know, we try to sort of follow the open protocols and in the open surgery, we generally do the jejuno-jejunostomy in four layers."
793.573,805.47,"Here we're doing in three layers, but we take a third layer, an anterior seromuscular stitch using a trio V-lock suture."
808.194,809.055,The completed
810.284,816.919,jejuno-jejunal anastomosis of the brown-loop gastro-jejunostomy.
821.05,828.786,The main advantage of this anastomosis obviously is to avoid efferent loop obstruction and bile reflux into the stomach.
828.806,841.152,This is the completed gastro-jejunal anastomosis and the jejunal-jejunal anastomosis which is sited about 10 cm away from the gastro-jejunal anastomosis.
847.004,850.293,"Next, we will discuss the technique of a lap-assisted gastrogyneostomy."
850.694,863.848,This is in case you don't have the facility for an endogia anastomosis for a laparoscopic-stapled gastrogyneostomy and also you're not comfortable doing a totally sutured intracorporeal anastomosis.
863.828,874.918,Basically in this technique the Truncal Vagotomy is done essentially in the same fashion as in the first video because the main incision and the main difficulty in exposure we need is for the Truncal Vagotomy.
874.938,891.793,"So the Truncal Vagotomy is done laparoscopically, the greater cover of the stomach is devascularized for the anastomosis, the mesocolon is lifted, the jejunal loop is identified and brought up to align with the stomach and the stomach and jejunum are being aligned here with a series of four seromuscular sutures."
894.895,907.494,So till this point both the surgeries are same but once the stomach and the jejunum is aligned and these four seromuscular stitches are taken we actually do the anastomosis extracorporeally.
908.155,917.95,So how we do it is basically at the completion of the fourth stitch we leave the thread very long the needle holder which is there in the right hand working instrument is going to help
917.93,947.852,hold this thread close to the anti-trap down wall then we make a small mini laparotomy in this case it's a very tiny 2 cm laparotomy through which we deliver the medial edge of the gastrointestinal anastomosis and make a small gastrotomy and enterotomy and put a stapler through that already the stomach is devascularized and they are aligned so we just fire the stapler and close the enterotomy and gastrotomy hand soon so this sort of the main incision which is required for the truncal vagotomy is avoided
947.832,953.24,and the loops are aligned and just the small incision is used for the laparotomy.
953.26,968.402,"In case you don't want to use a stapler, rather than make a 2 cm incision, you can make about a 4 cm incision and deliver the aligned GJ loop through this incision and do the anastomosis extracorporeally."
968.803,975.713,"Even this way, you'll be avoiding a much longer incision and the JJ can also be done in an exactly similar fashion."
