start,end,text
0.957,4.579,This exercise is ATW or around the world needle driving.
5.079,11.702,"The foam simulated suture pad is visible, used for practicing the ATW needle driving technique, similar to its use in the Big Dipper needle drive exercise."
12.142,21.12,"The surgeon demonstrates suturing on a foam simulated suture pad, inserting the needle from outside to inside in a counterclockwise sequence."
21.62,25.785,"The surgeon begins the exercise at the twelve o'clock position on the foam simulated suture pad, preparing to perform needle throws in a counterclockwise order."
26.285,34.673,"The simulated suture pad displays a flashing gray dot indicating the designated entry site for the needle, with the exit site also highlighted."
35.173,47.017,The circle indicator turns green on the simulated suture pad when the needle punctures the correct designated entry and exit sites.
47.517,57.541,I found that this tissue is a little more forgiving in terms of excessive force and tissue penalties on the pull through compared to some of the other suture exercises.
58.041,68.585,But it's still very important to make sure you follow the curve and the needle out on your pull through without any excessive force in order to avoid those penalties.
69.085,75.599,"The surgeon alternates between using the left and right needle driver based on the orientation of the suture throw, demonstrating precise control and coordination."
76.099,87.268,And this is where knowing how your wrist articulation works and planning your next throw is important and vital to moving swiftly through this exercise.
87.768,93.492,"You see on this pull through here, we are anticipating having to use the left arm to perform the next throw."
93.992,101.418,"The surgeon positions the needle correctly and grasps it securely, preparing for the next suture throw."
101.918,106.943,The surgeon positions the left hand in a pronated orientation to facilitate an easy and successful needle throw.
107.443,111.607,"The surgeon prepares to use the right-handed needle driver for the next suture throw, demonstrating the alternating technique between left and right needle drivers."
111.707,127.534,"The surgeon successfully pulls the needle through the tissue, following its curve with the left hand. The needle is then aligned horizontally and loaded with the right hand for the next throw."
128.034,140.39,You may have to take a couple practice runs at this and figure out the best coordination between the left and right arm with your loading and pull through in anticipation of your throws.
140.89,144.315,And this will allow you to complete this exercise quickly and successfully.
