start,end,text
117.447,124.078,The patient is placed in the position as shown here with both the arms extended outwards and a 45 degree head up.
124.258,133.633,These are the port positions on the right side where the camera port is at the foot in causal space and two 5mm ports additionally to create a triangulation as shown here.
133.613,142.686,We use an optical trocar entry with a 5mm telescope in all the patients and you can see here that the entry is made with a 5mm telescope and we enter inside.
143.106,146.652,This is the initial inspection with the collapsed right lung with a one lung anesthesia.
147.413,156.145,That's the anatomy of the sympathetic trunk as you can see here and on the right hand side you can see the longest coli tendon as shown here.
157.762,167.035,"On further inspection, in the top you can see the subclavian artery and the subclavian vein which are very important landmarks to identify the origin."
167.816,177.59,"This is the second port placement in the left upper axilla, a 5 mm entry which helps in the triangulation and initial dissection."
178.512,180.895,This is the vagus nerve as you can see here in the picture.
182.237,185.001,This is the second port entry seen through the cannula.
186.922,198.678,"So we identify the stellate ganglion, that's the second rib which is always visible, third rib and the fourth rib and the sympathetic trunk is along the neck of the ribs."
199.739,202.623,The initial dissection is started at the level of fourth rib.
203.504,205.707,As you can see here we open up the parietal pleura.
206.935,212.443,Once it is opened up we allow carbon dioxide to enter inside which helps in further dissection upwards.
213.344,219.934,So we keep proceeding upwards to dissect out the parietal pleura completely to expose the stellate ganglion.
221.056,227.425,One has to be very careful as you move upwards because the sympathetic trunk then comes very close to the subclavian vein.
229.16,242.381,"Once we have done this step, we use a bipolar source to take care of the accessory nerve of Kunz along the medial aspect and later on we will be also traversing along the course of the nerve of Kunz."
242.401,246.628,"So the parietal pulvera is open downwards and once we have done that,"
247.216,256.372,All the small vessels along the sympathetic trunk are taken individually with the help of bipolar energy source so that we don't have any bleeding when we are resecting the sympathetic trunk.
257.334,266.17,This is injection xylocard which is injected to prevent any cardiac arrhythmias which is done at the lower end and at the level of stellate ganglion.
268.057,272.202,and we sprinkle the rest of the xylocard all along the sympathetic trunk.
272.863,276.628,This is done to prevent any sort of arrhythmias while handling the sympathetic trunk.
277.769,288.162,A mixture forceps is used to dissect the sympathetic trunk at the level of the fourth ganglion on both the right and left aspect and we gradually make a window.
289.764,295.752,Care is taken to prevent any injury to the intercostal vessels which just lie posterior to the sympathetic trunk.
296.997,304.345,"Once we have done that, the dissection is started and we use the energy source harmonic."
305.006,312.595,"So once the harmonic is used, we use the monopolar electrosurgery at the settings of 30 and gradually proceed upwards."
313.075,321.385,"Wherever we find vessels along the way of the sympathetic trunk, we use a bipolar energy source to coagulate to prevent any bleeding in that area."
322.36,329.113,"The sympathetic trunk is slowly dissected from the fourth ganglion, proceeding towards the third, second and then moving up to the stellate ganglion."
331.116,341.736,"All these vessels are taken with fine coagulation with a combination of bipolar and monopolar energy source and slowly we proceed step by step, dissecting the sympathetic trunk upwards."
343.657,350.506,It's very important that you avoid any kind of extraction in this area so that you don't remove it in piecemeal.
351.247,352.79,And the dissection continues upwards.
353.971,361.121,"Once you reach to the upper part, you lower down the settings on the electrosurgery unit since you are nearing the stellate ganglion."
