start,end,text
0.631,25.491,"Here, we present our experience of using a lighted stent during robotic intersphincteric resection for secondary rectal cancer following prior radiotherapy for prostate cancer. The patient was a seventy-five-year-old man with T-II rectal cancer located three centimeters above the anal verge. Double tumors existed separately in the rectum."
25.991,39.223,The key issue was that he had received radiation therapy with a total dose of seventy-eight gray for prostate cancer fifteen years earlier and the rectal cancer occurred within the irradiated area.
39.723,51.498,"A lighted infrared stent is inserted into a urinary catheter to visually identify the urethra during the procedure, with leads connected to an external infrared source generator."
51.998,68.724,"Under direct vision, the surgeon performs a circumferential incision of the rectal wall, followed by intersphincteric dissection at least one centimeter below the tumor's lower margin. The anal orifice is closed, and a wound retractor is connected to maintain tightness in the surgical field."
69.224,78.175,"The video displays the port placement for the da Vinci G robotic system, with the operator utilizing a configuration of two robotic arms on the left side and one on the right side."
78.675,108.111,"The surgeon initiates an incision on the right side of the upper mesorectum, revealing the dissectable loose fibrous layer beneath the tissue."
108.611,126.335,"The surgeon identifies the left hypogastric nerve while applying ventral traction to the inferior mesenteric artery (IMA) pedicel, which extends the fibrous tissues located behind the pedicel."
126.835,153.022,The surgeon continues the incision of the peritoneum up to the root of the inferior mesenteric artery (IMA). Dissection is performed between the surrounding adipose and neural tissues. The root of the IMA is clipped and divided.
153.522,178.177,"The surgeon applies ventral retraction to the distal edge of the inferior mesenteric artery (IMA), extending the dissection plane between the sigmoidal mesentery and retroperitoneum. The left-sided colon is mobilized, and posterior dissection of the rectum continues, with the posterior side of the rectum being pushed up to extend the loose fibrous layer."
178.677,192.61,"The surgeon preserves the left hypogastric nerve during the dissection on the left side, ensuring the nerve remains intact amidst surrounding tissues."
193.11,221.213,"An intraperitoneal loose body is embedded in the anterior wall of the rectum. The left hypogastric nerve is visible and preserved, and the S-III pelvic splanchnic nerve on the left side is identified. The view focuses on the anterior side of the rectum."
221.713,251.059,"The surgeon observes an intraperitoneal loose body firmly embedded in the anterior wall of the rectum, surrounded by dense pelvic fibrosis, likely resulting from previous high-dose radiation therapy."
251.559,275.507,"The posterior side of the rectum is visible, with the S-III and S-IV pelvic splanchnic nerves on the left side clearly preserved during the dissection."
276.007,303.209,"The surgeon mobilizes the rectum along the total mesorectal excision (TME) plane, carefully continuing dissection while preserving the S-IV nerve branch and neurovascular bundle."
303.709,335.856,"The surgeon divides the hiatal ligament on the posterior side and performs dissection between the rectum and the levator ani muscle, connecting to the dissection layer created by the transanal approach. The intersphincteric dissection is extended bilaterally from the posterior right side to the left side."
336.356,366.717,"The surgeon examines the anterior side of the rectum, where severe fibrous changes in the connective tissues are visible due to prior radiotherapy, making it difficult to identify a clear dissection layer."
367.217,395.6,"The anterior left side of the surgical field is visible, showing the inner ring of the wound retractor. The Firefly system of the DaVinci-G is being used to attempt detection of a fluorescent signal from a lighted stent, although no clear signal is observed at this stage."
396.1,441.007,"The surgeon detects a bright green fluorescent signal from the urethra stent, using it as a reference for continuing anterior dissection. Despite the increased fibrosis from previous radiotherapy, the fluorescent signal aids in navigating the fibrous tissue, which lacks a clear dissection layer."
441.507,477.682,"The surgeon carefully dissects around the urethra, using fluorescent information to guide the dissection line and avoid injury to the urethra."
478.182,507.73,"The surgeon divides the perineal body at the inferior border of the prostate, providing a final view of the anterior side from the transabdominal approach. The fluorescent signal from the lighted urethra stent assists in determining the appropriate dissection line on the anterior side."
508.23,529.612,"Final pathology showed PT-I, PN-I, M-I stage I with negative resection margins. Two weeks postoperatively, the patient was discharged without any adverse events. The anterior dissection plane of the rectal specimen was pathologically diagnosed as increased fibrosis among smooth muscle cells."
