start,end,text
5.092,13.959,"The surgeon uses a self-retaining retractor to avert and expose the segment of full thickness rectal prolapse, providing a clear view of the prolapsed tissue."
14.459,20.703,"The surgeon uses cautery to circumscribe the rectal wall one centimeter proximal to the dentate line, creating a visible incision around the tissue."
21.203,28.035,"The surgeon completes the circumferential dissection of the rectal wall, finalizing the rectotomy around the full thickness prolapse."
28.535,38.204,The surgeon enters the anterior peritoneal cavity and delivers the sigmoid colon transanally. The mesentery of the sigmoid colon is then divided using a vessel sealing device.
38.704,47.933,"Following the division of the mesentery, the surgeon modifies the approach of the standard Altemeier operation, with visible adjustments to the surgical technique."
48.433,53.867,"The surgeon uses a GIA stapler to divide the sigmoid colon, with the stapler visibly clamping and cutting through the tissue."
54.367,59.772,"The surgeon uses a suture to tag the staple line on the rectal wall, ensuring it can be easily retrieved later in the procedure."
60.272,64.657,The surgeon uses a Babcock forceps to deliver the sigmoid colon back into the abdominopelvic cavity.
65.157,71.543,"A TAMUS port access channel is positioned and secured to the dermis at the one and seven o'clock positions, ensuring stable access for the procedure."
72.043,77.162,"The surgeon clamps the tamus port lid onto the access channel, initiating insufflation to expand the surgical field within the rectal area."
77.662,84.325,"The surgeon divides adhesions within the abdominal cavity, using techniques similar to those in diagnostic laparoscopy, allowing for exploration of the area."
84.825,89.587,"The omentum is visibly adherent to the anterior abdominal wall, demonstrating its attachment in the surgical field."
90.087,96.59,"The surgeon sweeps the sigmoid colon to the patient's left side, revealing the sacral promontory in preparation for the rectopexy procedure."
97.09,106.585,"The surgeon uses a laparoscopic tacker to secure the sigmoid epiploics to the sacral promontory, with the suture of the staple line distracted cordially."
107.085,115.792,Three absorbable Vicryl tacks are used to secure the sigmoid colon during the rectopexy procedure.
116.292,125.099,Endocyanine green is administered to assess bowel wall perfusion before removing the TAMIS port to complete the anastomosis.
125.599,135.016,The surgeon withdraws the TAMIS port and delivers the tagged sigmoid colon towards the anorectum following the completion of the PEXI procedure.
135.516,146.221,The surgeon excises the staple line using scissors and performs a hand-sewn coloanal anastomosis with interrupted 2-0 Vicryl sutures.
146.721,149.743,"Indocyanine green (ICG) dye is administered to visually assess the perfusion of the bowel conduit, ensuring adequate blood flow."
150.183,158.667,"The video displays the completed coloanal anastomosis, showcasing the surgical site where the bowel segments have been joined."
159.167,165.705,"Synthetic mesh is applied to reinforce the repair and PEXI, providing additional support to the surgical site."
166.205,173.694,"The operation commences with a rectotomy, followed by the division of the mesentery. The surgeon then staples the sigmoid conduit."
174.194,181.924,"The surgeon tags the staple line with a suture, marking the area for further surgical manipulation."
182.424,190.039,"The surgeon positions the TAMUS port and establishes pneumopelvis, creating an inflated space within the pelvic cavity for enhanced visibility and access during the procedure."
190.539,199.986,"With the patient in the Trendelenburg position, the surgeon grasps the sigmoid conduit and delivers it back into the abdominal cavity, exposing the posterior aspect of the pelvis."
200.486,204.789,"The surgical field shows a vacant area where the rectum and mesorectum have been excised, leaving an open space in the pelvic region."
204.809,214.356,A straight six-centimeter section of polypropylene mesh is delivered through the tamus port into the surgical field.
214.856,219.124,"The polypropylene mesh is secured in place using absorbable tacks, ensuring it is properly positioned within the surgical field."
219.624,230.128,"The surgeon removes the tamis port and delivers the tagged staple line of the sigmoid conduit to the operative field. The distal portion of the polypropylene mesh is divided along the middle, creating two separate sections resembling pant legs."
230.628,242.573,The surgeon wraps the ends of the mesh pant legs around the sigmoid colon conduit and secures them at the three and nine o'clock positions using 3-0 PDS sutures.
243.073,248.035,"The surgeon completes the anastomosis using a hand-sewn technique, with the mesh already secured in place around the sigmoid colon conduit."
