start,end,text
11.85,19.305,"Presented to you by Devan Limbacha, final year medical student and performed by Mr. Joel Dunning at the James Cook University Hospital."
53.221,56.685,Here we have an external view of the robot in action with its four arms.
57.285,60.449,"As you can see, it is controlled by Mr. Dunning on the far left."
66.035,71.661,So here you can see Acadia in arm two on the left and Maryland in arm one.
72.702,81.051,This is a great first shot of the sub-xiphoid port where you can see the assistant bringing in tonsil swabs and typically two are used in every case.
82.516,86.921,Now you can see the lung grasper in the third arm of the robot pushing down on the lower lobe.
87.882,97.893,We're now looking to explore the anterior oblique fissure and the middle lobe is being held as the anterior oblique fissure is dissected.
100.596,107.123,And Mr. Dunning just pointed to the pulmonary artery and explained how good the oblique fissure is in this case.
108.757,115.645,"Quite often the fissure would be stapled, but because it was so good, it was decided to use bipolar energy at 70 watts."
117.047,128.38,"And now the video is nicely sped up and shows that we are exposing the pleura over the pulmonary artery, and this being the lower low pulmonary artery."
132.065,136.35,"And just to the end of this, we're looking for the apical segmental branch."
143.975,151.731,"So now we're beginning to get into the sheath of the pulmonary artery, just dissecting more so we can expose it nicely."
158.245,163.857,And now we're just going anterior again and just finishing off the anterior oblique fissure.
170.266,176.734,"Now coming back over the pulmonary artery, you just have to look for the apical segmental to the lower lobe, just below the Maryland now."
177.876,185.365,"And we're also checking if there is a posterior ascending to the upper lobe, which will be just above where the cadiers are held."
186.167,197.421,"And just exposing some of the fat and lymph nodes as we're getting view of the posterior ascending artery to the upper lobe, which obviously will be left behind in this case because it's a lower lobectomy."
200.354,207.881,Now we've changed view using the lung grasper to lift the lower lobe up and we're going up the inferior ligament using bipolar energy.
211.284,220.754,"And with the third arm lifting up and our two hands, the CADIA and the MERILAN that help us to perform what we are doing now, looking out for any station R9 lymph nodes."
223.216,229.602,"Here you can see a lower lobe lymph node being removed, most likely a station 10 high lymph node."
237.85,262.423,and this is just another station 10 hyaluronic node being removed just adjacent to the inferior pulmonary vein here we can see the phrenic nerve anteriorly and we can also see the inferior pulmonary vein which we are just dissecting around opening up the pleura in front of this vein
265.829,270.642,And just showing the vein there with the Maryland as this is where we'll be stapling.
271.364,275.755,"We're just taking out some of the fatty tissue here, which could get in the way of the staples."
284.155,289.981,"And this fatty tissue most likely contains nodal tissue, which we could classify as R10."
290.862,299.571,"And here you can see the usefulness of the subsyphoid utility port, because you can see the port coming in and check that the lymph nodes leave the chest safely."
300.392,304.657,And this is a further station 10 lymph node removal around the inferior pulmonary vein.
307.159,312.525,Now we're just using the third arm to retract the lower lobe upwards so we can expose the vein.
316.015,327.105,"Just looking at the middle lobe bronchus and lymph nodes situated around the Maryland, most likely station 11 lymph nodes, which are interlobal nodes."
339.05,360.028,and here we've reflected the lower lobe anteriorly and we're now exposing at the pleura posteriorly to go towards station seven and this is now behind the inferior pulmonary vein going up leaving the vagus nerve to the left and going up to the hilum towards the ozygous vein
363.603,371.558,And just below the Maryland is the bronchus intermedius and we're removing some lymph nodes from the subcarinal station seven.
373.021,377.95,You can see the ozygous vein at the top and the vagus nerve just below the cadia.
394.67,397.775,Now this is a much better view of the subcarinal station.
398.476,404.485,"You can see the bronchus intermedius to the right, and you can actually see the left main bronchus just below the oesophagus."
410.433,412.396,This is dissection of station seven.
412.957,422.972,"We go up the bronchus intermedius and try and strip it from the pericardium, leaving no fatty tissue behind, aiming for a full lymphadenectomy if possible."
425.72,427.723,And this is just removal of station seven.
427.783,429.245,Now it's quite a large specimen.
430.126,436.295,"And when we have a large specimen that we think won't easily come out of the port, we use a sterile glove finger."
439.118,446.509,"And actually with a sub-xiphoid port, you can easily see it come out, but sometimes it can get caught on the valve of the CO2 port."
447.169,451.255,And therefore we use a finger of a glove to remove the sample.
455.993,457.752,I believe this was the middle finger.
471.873,474.877,So there's a really nice view of the bronchus intermedius.
475.418,483.95,We're trying to get rid of more of the tissue so we can see the right upper lobe bronchus and the join between the right upper lobe and the bronchus intermedius.
485.212,491.08,Now we're moving to push the lower lobe down and we've got the pulmonary artery brilliantly exposed.
493.844,503.762,So now we're ready to fire and Miss Dunning always uses a gold tip with a leader calf as it is easy to pass the leader calf as the surgeon on the console.
504.403,513.259,"And then it's very easy to pull the stapler around the vessel without any technical difficulty from the assistant, which is probably a safer approach and quicker than using a sling."
515.282,515.683,So.
518.718,532.015,"Right now, that is the lower lobe pulmonary artery, and we're using a TAN45, which is being fired using the Signia Covidien powered stapler."
539.044,540.767,Now we're dissecting the bronchus.
541.548,546.514,You can see the PA above and the curve of the bronchus intermedius going to the middle lobe just there.
552.805,555.653,Here we're now lifting up the lower lobe ready to do the vein.
556.616,560.688,So you can see this time we are around the pulmonary vein nicely.
562.553,567.186,And this time a leader calf was not actually used.
568.06,594.692,because accidentally this was opened and therefore to prevent wastage we use this and actually because the cadia was around the vessel a different technique was employed in which we actually grasp the back of the stapler and pull it through again this is a safer approach and asking the assistant to push through blind and this is a tan 45 without a gold tip due to inadvertent opening
596.866,601.378,So here we're just lifting the start of the posterior oblique fissure.
603.082,606.551,There's always a station of 11 lymph node between the upper and lower lobe.
607.052,611.263,"And we go just superficial to this, ensuring we're behind the bronchus."
622.583,627.489,So here we're just completing the posterior oblique fissure with a purple 60.
628.85,636.64,We don't tend to use leader calves on this because gold tips are more expensive and therefore these are used particularly for vascular structures.
638.482,647.713,"And as you can see, it's really important to push either side of the fissure to prevent tooth pasting so that only one firing of the stapler is necessary."
654.528,661.52,"Now we'll just continue to expose the bronchus, and it's been completed using a purple 45."
661.561,669.094,And it's important that you push down sufficiently so you don't stenose the middle lobe.
670.857,676.367,"Because of the view and because it was of great quality, it wasn't necessary to use inflation."
680.347,682.016,So that's the right lower lobe completed.
682.097,685.918,We're just taking an R11 lymph node for completeness.
689.577,693.763,And here we're just cutting a sample of the pulmonary artery.
694.665,699.051,What this actually allows is for the blood to be taken out via suction.
699.932,710.949,"And as a result of the removal of approximately 300 to 400 millilitres of blood from the whole specimen, it actually makes the sample smaller and allows for easier removal."
712.13,714.514,And therefore we can make the utility incision smaller.
715.495,718.74,And we remove the sample using a cotton bag.
719.902,724.892,and that's through the sub-xiphoid port which is extended along the linear ulba.
736.916,738.619,And now you can see a catheter
739.848,767.34,that's being placed and this is routinely done and it's tunnelled through the eighth space to about the second or third space and this provides great analgesia and it's via an on-queue tunneller so it infuses bupivacaine for up to three to four days and finally we're just having an inflation check for no bubbling so that we can remove the drain quicker post-operatively and a single drain is placed via the sub-xiphoid port as this is thought to be less painful
