start,end,text
0.391,2.112,"In the name of God, the Most Gracious, the Most Merciful."
2.152,3.053,Symbol tillage.
3.233,4.554,Laparoscopic hysterectomy.
4.574,6.635,The ten principles.
6.975,10.377,Ten steps toward the technique to simplify tillage.
10.877,13.119,"The patient is positioned supine on the operating table, with arms secured and legs placed in stirrups for optimal access during the laparoscopic hysterectomy procedure."
13.619,14.499,"The surgeon positions the laparoscopic ports on the patient's abdomen, preparing for the hysterectomy procedure."
14.659,16.64,"The surgeon positions the uterine manipulator within the pelvic cavity, ensuring proper alignment for the laparoscopic hysterectomy procedure."
17.041,19.642,"The first three pieces are very, very, very important."
20.102,24.653,The surgeon identifies the ureter within the pelvic space anatomy and uses a vessel sealer to manage surrounding vessels.
25.153,27.755,"The surgeon performs dissection of the uterine attachments, carefully separating the uterus from surrounding tissues."
27.775,31.338,"The surgeon approaches the window zone, preparing to continue dissection in the pelvic space during the hysterectomy procedure."
31.698,35.241,"The surgeon mobilizes the bladder and dissects the osteoprotonium, carefully separating these structures from surrounding tissues."
35.741,37.182,"The surgeon secures the uterine artery using a vessel sealer, ensuring hemostasis in the pelvic space."
37.582,40.045,"The surgeon separates the cervix from the vagina, carefully dissecting the tissue to detach the cervix."
40.545,42.506,"The surgeon performs a colpotomy to form the vaginal vault, creating an opening at the top of the vaginal canal."
42.906,44.948,"The surgeon removes the uterus along with the adnexal tissue, completing the excision of these anatomical structures."
45.128,48.835,"The surgeon sutures the vaginal vault, followed by suturing the port site, ensuring closure and securing the surgical area."
49.335,72.713,"After manipulating the bowel out of the pelvis, the surgeon transsects the ligament and proceeds to the anterior leaflet of the broad ligament. The anterior peritoneal reflection of the uterus is opened to perform skeletonization in the grey zone, avoiding the intestinal lobe and ureter."
73.213,101.125,The surgeon uses atraumatic forceps to reflect the bladder anteriorly. The infundibulopelvic (IP) ligament is transected while ensuring the ureter remains secure. The uterus is then elevated and directed posteriorly.
101.625,103.568,And the manipulation is always how you want it.
103.628,105.431,Where are you going?
105.551,107.394,"The surgeon proceeds to mobilize the bladder, likely using atraumatic forceps to reflect it anteriorly, as part of the hysterectomy procedure."
107.414,109.577,How are you going to do blooder mobilization?
109.617,113.057,"The surgeon prepares to perform a transection, likely involving the uterine structures, following the elevation and posterior direction of the uterus."
113.557,135.516,"The surgeon reflects the bladder anteriorly, ensuring it is positioned two centimeters below the colpotomizer in preparation for the vaginal vault closure."
136.016,151.928,"The surgeon opens the colpotomy at the vaginal fornices using a monopolar hook or spatula, preparing to fix the colpotomy site."
152.428,168.035,The surgeon pulls the uterus into the vagina while dissecting the bladder by pushing the vesical fascia downward using scissors and a uterine manipulator.
168.435,169.175,Where is he going?
169.215,170.596,"The surgeon approaches the uterine artery, preparing for its identification and potential ligation or transection."
171.096,171.717,What will he do?
171.757,172.897,"The surgeon performs a transection, likely involving the uterine structures, using surgical instruments."
173.117,173.597,With what?
173.978,175.538,"The surgeon uses a bipolar electrosurgical instrument, visible in the surgical field, to perform cauterization or dissection."
176.018,181.461,"And the advice is always, without your life starting in the tail, you won't find it in the leg of the horse."
181.961,207.17,"without the advanced bipolar, always stick to the simple and scissor bipolar you will find better pleasure in the work the colbutomizer is specially designed and must be well understood the muscles that hold the colbutomizer at the lower vagina must be well understood"
207.67,231.73,I do good dissection and good hemostasis as you can see This stage is very important and I always want to say in the operation Push the uterus as much as you can I am always one of the people that I like to do side by side I do the rounds
232.23,251.169,"The surgeon secures hemostasis by ligating the infundibulopelvic (IP) ligament on both sides, ensuring no bleeding occurs during the procedure."
251.669,267.622,"The surgeon approaches the uterine vessel, entering the gray zone for skeletonization using the wand technique, ensuring all actions are performed under direct visual guidance."
268.122,296.473,"The surgeon lifts the ovary and approaches the IP ligament during the uterus detachment, ensuring all steps are performed under direct vision, especially when using the ligature device."
296.973,320.428,"The surgeon performs a precise transection and dissection using bipolar coagulation, achieving a bloodless field under direct vision."
320.928,322.69,All of this is bipolar.
323.19,326.753,This is one of the important things that you have to put.
327.133,328.734,The most important thing is to fix the work.
328.754,330.236,The three first pieces.
330.736,332.658,Patient preparation is important.
333.158,335.54,The patient position is important.
335.56,338.582,The patient with hip flexed third degree.
339.082,342.145,And the leg opened slightly.
342.165,343.864,And the buttock.
344.364,371.594,"The uterine manipulator is positioned protruding over the edge of the table, allowing for optimal movement. The surgeon skeletonizes the uterine artery, maintaining a seventy-degree working angle towards the pelvis."
372.094,376.538,"Contralateral, don't work on the ipsilateral as well."
376.798,380.201,"The surgeon uses a bipolar instrument near the incision site, manipulating tissues with precision."
380.242,383.865,The full catheter has to be connected with a good urinary bag.
383.885,389.41,The patient arm has to be tugged at the hair sides well.
389.45,389.87,Don't be blind.
389.91,395.135,"You always get stuck in it and your patient gets stuck in it, so there will be a problem."
395.175,396.943,Always work with four ports.
397.443,425.559,it starts at level one ten or twelve at the umbilical incision supra or infra or intra or it could be midway between the umbilicus and the sternum if it is an obese patient or the uterus is large or it could be a palmar point if there was previous adhesion or previous scar or it could be that you enter supra umbilically okay okay and then
426.059,437.444,"to ten millimeter pores or five millimeter pores, sorry, four centimeters medially and above to the anterior sphincter spine."
437.944,438.264,Okay?
438.644,441.205,The video shows the positions of the surgical ports used for the hysterectomy procedure.
441.285,441.905,You have to put them.
441.925,444.086,Don't leave the assistant to put them.
444.106,444.206,Okay?
444.266,447.227,And the assistant who works with you has to be you.
447.247,449.008,The surgeon begins making incisions to initiate the hysterectomy procedure.
449.028,452.08,"The cuts here are very, very, very important, guys."
452.58,462.447,"The surgeon uses a monopolar hook to perform a colpotomy, making incisions around the vaginal fornices."
462.947,471.381,The surgeon uses a monopolar hook with a pure cutting waveform to perform precise cuts during the hysterectomy procedure.
471.881,499.337,It has a pure cutting wave form of about sixty watts It has a pure cutting wave form of about sixty watts It has a pure cutting wave form of about sixty watts It has a pure cutting wave form of about sixty watts
499.837,521.067,"The surgeon pulls the uterus into the vagina to maintain hemoprotein levels during suturing, ensuring it remains inflated. The surgeon's back is prepared and positioned inside a glove."
521.547,528.78,I don't put my back like this because it has openings so the abdomen deflates
