start,end,text
0.651,58.592,"Robotic ventral mesh rectopexy has been recently introduced as a safe and effective alternative to laparoscopic approach in the treatment of external and internal rectal prolapse. A few modifications of this technique, firstly described by Doerr and collaborators for the laparoscopic approach, have been introduced. We present the case of a six-year-old woman with history of obstructive edification. She reported three vaginal deliveries in the past and a laparoscopic left adenectectomy for a dermatocyst twenty years before. Any colorectal malignancy, sphincter lesion or continence impairment were excluded. An intra-anal interception, a four centimeter anterior rectocele, and a tendency to entire dislocation into the pelvis during straining were observed at the dynamic contrast defecography."
0.651,58.592,"Robotic ventral mesh rectopexy has been recently introduced as a safe and effective alternative to laparoscopic approach in the treatment of external and internal rectal prolapse. A few modifications of this technique, firstly described by Doerr and collaborators for the laparoscopic approach, have been introduced. We present the case of a six-year-old woman with history of obstructive edification. She reported three vaginal deliveries in the past and a laparoscopic left adenectectomy for a dermatocyst twenty years before. Any colorectal malignancy, sphincter lesion or continence impairment were excluded. An intra-anal interception, a four centimeter anterior rectocele, and a tendency to entire dislocation into the pelvis during straining were observed at the dynamic contrast defecography."
59.092,102.916,"The patient is positioned in the elbow position under general anesthesia. A uterine manipulator is visible. Three 8mm robotic trocars, including an optical trocar, are placed at the umbilical and parumbilical area, while two additional trocars (10mm and 5mm) are positioned laterally for laparoscopic assistance. The robotic system is docked, and the sigmoid colon is retracted to the left side of the abdomen, exposing the pelvic area."
85.743,169.039,"The patient is positioned under general anesthesia with a uterine manipulator in place. Three 8mm robotic trocars, including the optical trocar, are inserted at the umbilical and parumbilical areas, while additional 10mm and 5mm trocars are placed laterally for laparoscopic assistance. The robotic system is docked, and the sigmoid colon is retracted to the left side to expose the pelvis. A 5cm peritoneal incision is made at the Douglas pouch."
103.416,252.935,"The surgeon performs a five-centimeter peritoneal incision at the Douglas pouch and dissects the rectovaginal space up to the perineal body. The redundant peritoneal pouch is excised, exposing a longer tract of the anterior rectum for mesh placement. A polypropylene mesh, marked with two radiopaque clips on its distal edge, is introduced into the abdominal cavity and sutured over the ventral rectum using six TRIO PDS sutures."
169.539,252.935,"The surgeon dissects the rectovaginal space up to the perineal body, confirmed by digital exploration through the vagina and anorectum. The redundant peritoneal pouch is excised, allowing for a longer tract of anterior rectum for mesh placement. A polypropylene mesh, marked with two radiopaque clips on its distal edge, is introduced into the abdominal cavity and sutured over the ventral rectum using six TRIO PDS sutures."
253.435,353.52,"The surgeon preserves the most proximal sutures for fixation at the proximal vagina. A small peritoneal incision, approximately three centimeters, is made at the sacral promontory. The periosteum is carefully freed, avoiding damage to the autonomic nerve fibers and lateral and utero sacral ligaments. A retroperitoneal tunnel is meticulously created from the pre-promontory incision to the pelvic incision."
253.435,353.52,"The surgeon preserves the most proximal sutures for fixation at the proximal vagina. A small peritoneal incision, approximately three centimeters, is made at the sacral promontory. The periosteum is carefully freed, avoiding damage to the autonomic nerve fibers and lateral and utero sacral ligaments. A retroperitoneal tunnel is meticulously created from the pre-promontory incision to the pelvic incision."
354.02,467.838,"The surgeon pulls the proximal mesh up to the sacral promontory, applying gentle tension to prevent future rectal interception and rectocele persistence. The mesh is fixed at the sacral promontory with two stitches using 2-0 PDS sutures. Two clips are placed on the mesh and another on the periosteum for potential radiographic checks of mesh detachment."
354.02,467.838,"The surgeon pulls the proximal mesh up to the sacral promontory, applying gentle tension to prevent future rectal intussusception and rectocele persistence. The mesh is fixed at the sacral promontory with two 2-0 PDS sutures. Two clips are placed on the mesh and another on the periosteum for potential future radiographic evaluation."
468.338,520.678,"The surgeon trims the redundant mesh and places two radiopaque clips on the mesh sides at its proximal fixation over the rectum for future radiographic checks. The posterior proximal vagina is approximated to the mesh using the two most proximal sutures, avoiding full thickness needle passage through the posterior vaginal wall. Peritoneal incisions are closed with woolock sutures, and no drain is left in place."
468.338,496.202,"The surgeon trims the redundant mesh and places two radiopaque clips on the sides of the mesh at its proximal fixation over the rectum, ensuring visibility for future radiographic checks of the mesh position during follow-up."
496.702,520.678,"The surgeon approximates the posterior proximal vagina to the mesh using the two most proximal sutures, ensuring careful avoidance of full-thickness needle passage through the posterior vaginal wall. The peritoneal incisions are closed with woolock sutures, and no drain is left in place."
521.018,563.525,"Patient was discharged on second postoperative day. Stool softeners and pain relievers are usually recommended if necessary. At radiography, the clips are easily visible at different projections and can delineate the distal and proximal levels of the mesh sutures over the ventral rectum and its fixation at the sacral promontory. This video demonstrates the feasibility of the robotic approach to perform a ventra rectopexy in case of obstructive defecation syndrome with severe interception associated with rectocele and enterocel."
521.018,536.128,"Patient was discharged on second postoperative day. Stool softeners and pain relievers are usually recommended if necessary. At radiography, the clips are easily visible at different projections and can delineate the distal and proximal levels of the mesh sutures over the ventral rectum and its fixation at the sacral promontory."
550.394,596.416,This video demonstrates the feasibility of the robotic approach to perform a ventra rectopexy in case of obstructive defecation syndrome with severe interception associated with rectocele and enterocel. A similar approach can be used in case of external recta prolapse. Adoption of a double minimal peritoneal incision instead of a classical single inverted J-incision can avoid the demolition of important pelvic structures like the lateral and utero-sacral ligaments and reduce the duration of the operation. Marking the mesh with radiopark clips can allow a check of mesh position during follow-up when a dislocation or detachment is suspected.
564.025,596.416,A similar approach can be used in case of external recta prolapse. Adoption of a double minimal peritoneal incision instead of a classical single inverted J-incision can avoid the demolition of important pelvic structures like the lateral and utero-sacral ligaments and reduce the duration of the operation. Marking the mesh with radiopark clips can allow a check of mesh position during follow-up when a dislocation or detachment is suspected.
