start,end,text
0.551,14.387,In this video we want to show our technique for the management of big uterus more than five hundred grams that undergo to a laparoscopic hysterectomy.
14.887,32.763,The surgeon releases the lateral attachment of the uterus by coagulating and cutting the left round ligament using laparoscopic instruments.
33.263,46.565,"The surgeon increases the mobility of the uterus, enhancing the visual exposure of the left adnexa during the laparoscopic hysterectomy."
47.065,58.267,"The surgeon releases the fallopian tube and the utero-ovarian ligament, providing a clear view of the uterine pedicles during the laparoscopic hysterectomy."
58.767,85.825,"The assistant retracts the left ovary, providing a clear view of the utero-ovarian ligament. The surgeon controls the utero-ovarian ligament using coagulation and cutting techniques."
86.325,97.315,"The surgeon exposes the lateral face of the uterus and proceeds to open the brown ligament, enhancing visibility and access to the uterine structures."
97.815,113.663,"The surgeon dissects the left part of the broad ligament to control the insertion of the left uterosacral ligament, using precise techniques to separate and manage these anatomical structures."
114.163,119.706,"The surgeon performs the same procedure on the right side of the uterus, manipulating the right uterosacral ligament and utero-ovarian ligament to increase uterine mobility and improve visualization of the right adnexa."
120.206,136.034,"The surgeon coagulates and cuts the round ligament, enhancing the mobility of the uterus, which is then moved laterally to the left."
136.534,161.147,"The surgeon performs vesicle uterine mobilization by cutting the peritoneum between the bladder and the uterus, revealing a significant amount of connective tissue in the area."
161.647,185.08,"The surgeon removes connective tissues between the bladder and vagina, exposing the vesico-uterine ligament. The vesico-uterine ligament is then cut at its cranial and medial parts, revealing the anterior part of the uterine manipulator."
185.58,202.27,"The surgeon performs the same procedure on the left side, cutting the vesico-uterine ligament at its median part to avoid damaging the ureter."
202.77,234.349,"The surgeon controls the left uterine artery, a large vessel, by carefully clamping and ligating it to prevent accidental bleeding. The size of the artery is visibly correlated with the size of the uterus."
234.849,248.585,"The surgeon cuts the vein and proceeds posteriorly, revealing the posterior valve of the uterine manipulator."
249.085,265.375,"The surgeon proceeds to cut the right fallopian tube and the right utero-ovarian ligament, separating these structures from the uterus."
265.875,295.342,"The surgeon uses bipolar energy to coagulate a vascular ligament over a span of two to three centimeters, ensuring effective hemostasis to prevent accidental bleeding."
295.842,333.581,"The surgeon carefully removes connective tissues between the uterus and adnexa to expose the right uterine pedicle, ensuring not to damage the adjacent large vein, especially in cases of a large uterus. Precise control of the pedicle is achieved before proceeding with its division."
334.081,354.969,"The surgeon performs coagulation over a two to three centimeter area, clearly visualizing the uterine arteries and cervico-vaginal vessel on the right side of the uterus."
355.469,372.97,The surgeon cuts the cervico-vaginal vein and performs the same procedure on the cervico-vaginal vessel located on the right side of the uterus.
373.47,400.628,"The surgeon performs a colpotomy using a monopolar needle to cut the vaginal tissue around the uterine manipulator, ensuring a dry section as the surrounding tissues have been previously controlled with bipolar energy."
401.128,444.166,"Under direct vision, the surgeon cuts the left, anterior, and right parts of the vagina using a monopolar needle. The uterosacral ligament on the right is also cut, and the needle is repositioned on the left trocar to achieve a perpendicular angle for cutting the posterior part of the vagina on the uterine manipulator."
444.666,503.692,"The surgeon performs morcellation of a large uterus within the abdomen using a chardonnay knife. The uterus is cut into two pieces, starting with the cervix, and the procedure is completed with intra-abdominal hemi-section under direct visual control."
504.192,555.434,"The surgeon carefully maneuvers a knife to avoid damaging the bowel while cutting the uterus into two pieces. Vaginal forceps are applied to the hemi-uterus, which is then gently extracted vaginally without causing damage to the surrounding vaginal tissue."
555.934,591.713,"The surgeon removes the second part of the uterus under visual control, ensuring no damage to the vagina. The procedure is completed quickly. The surgeon begins suturing the edge of the vagina, starting laterally."
592.213,702.177,"The surgeon sutures the left part of the vagina, incorporating peritoneal tissue into the closure using extracorporeal knotting with a zero vicryl suture and a 40mm needle. The same technique is applied to the right part of the vagina, ensuring the entire vaginal mucosa is included in the suture. The surgeon completes the closure with an X knot, securing the peritoneum within the suture for a robust closure."
702.677,716.604,"It's a fast technique, simple technique. This is now the final aspect of the surgery. Thank you for attention."
