start,end,text
80.77,119.729,"The surgeon stands on the left side of the patient, using ports in the left hypochondrium and left iliac fossa to mobilize the right colon. After establishing pneumoperitoneum, a medial to lateral dissection of the right colonic mesentery is performed. The ileocolic pedicle is identified, clipped, and divided with hemolog clips. The ileocolic vessels are ligated at a mid-mesenteric level, and the terminal ileal mesentery is divided, allowing the terminal ileum to be divided with a stapler."
80.77,119.729,"The surgeon stands on the left side of the patient and uses the ports in the left hypochondrium and left iliac fossa to mobilize the right colon. After establishing pneumoperitoneum, a medial to lateral dissection of the right colonic mesentery is performed. The ileocolic pedicle is identified, clipped, and divided using two hemolog clips. The ileocolic vessels are ligated at a mid-mesenteric level, and the terminal ileal mesentery is divided, allowing the terminal ileum to be divided with a stapler."
127.996,154.028,"The surgeon moves caudally and uses ports in the right and left iliac fossa to access the transverse colon. The gastrocolic ligament is divided to enter the lesser sac, allowing for the mobilization of the transverse colon. The mesentery of the transverse colon is dissected to approach the middle colic vessels."
127.996,154.028,"The surgeon moves caudally and uses the ports in the right and left iliac fossa to access the transverse colon. The gastrocolic ligament is divided to enter the lesser sac, allowing for the mobilization of the transverse colon. The dissection of the mesentery of the transverse colon is performed to approach the middle colic vessels."
154.528,203.677,The surgeon divides multiple lymphatic and venous branches before ligating and dividing the middle colic artery during the colectomy procedure.
154.528,203.677,"The surgeon divides multiple lymphatic and venous branches, followed by the ligation and division of the middle colic artery."
204.177,211.621,"The surgeon switches to the right side of the patient, using ports in the right hypochondrium and iliac fossa to approach the splenic flexure. The left colon and rectum are mobilized through supracolic dissection, with careful movements to safely navigate around the splenic flexure and avoid iatrogenic splenic injury."
204.177,211.621,"The surgeon switches to the right side of the patient, using ports in the right hypochondrium and iliac fossa to approach the splenic flexure. The left colon and rectum are mobilized through supracolic dissection, with careful movements to safely mobilize the colon and avoid iatrogenic splenic injury."
261.684,306.558,"The surgeon identifies the inferior mesenteric artery and performs a medial to lateral dissection, culminating in the high ligation of the artery."
261.684,361.267,"The surgeon identifies the inferior mesenteric artery and performs a medial to lateral dissection, culminating in the high ligation of the artery. The laparoscopic procedure continues with the mobilization of the rectum, dividing the peritoneal reflection and proceeding in the plane of total mesorectal excision to reach the middle to low rectal canal."
307.058,361.267,"The surgeon completes the laparoscopic procedure by mobilizing the rectum. The peritoneal reflection is divided, and the dissection continues in the plane of total mesorectal excision, reaching the middle to low rectal canal."
369.158,397.912,The laparoscopic view shows the perineal dissection being performed in a codocranial direction. The specimen is then extracted through the perineal wound.
369.158,397.912,The laparoscopic view shows the perineal dissection being performed in a codocranial direction. The specimen is then extracted through the perineal wound.
405.727,455.23,The surgeon closes the pelvic peritoneum over a suction drain using an intracorporeal continuous suture technique.
405.727,455.23,The pelvic peritoneum is closed over a suction drain using an intracorporeal continuous suture.
